name,week,manager,position,roster_position,points,2-PT,Blk Kick,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Fum Lost,Fum Rec,Fum Ret TD,Int,PAT Made,Pass TD,Pass Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,Targets,XPR
Marquez Callaway,1,Steve-Dave,WR,BN,1.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,14,0,0,0,0,,,,2,
Rashaad Penny,1,Steve-Dave,RB,BN,0.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,2,0,8,,,,0,
Evan Engram,1,Steve-Dave,TE,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Matt Prater,1,Steve-Dave,K,K,8.0,,,0,0,1,0,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Carolina,1,Steve-Dave,DEF,DEF,9.0,,0,,,,,,,0,,1,,,,14,0,0,1,0,0,0,0,,,,0,,,,6,0,0,,0
Lamar Jackson,1,Collin,QB,QB,18.0,0,,,,,,,2,,0,0,,1,235,,,,,,,,,0,0,0,0,12,0,86,,,,0,
Keenan Allen,1,Collin,WR,WR,14.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,0,100,0,0,0,0,,,,13,
Brandin Cooks,1,Collin,WR,WR,15.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,132,0,0,0,0,,,,7,
Ezekiel Elliott,1,Collin,RB,RB,4.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,6,0,11,0,33,,,,2,
Raheem Mostert,1,Collin,RB,RB,2.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,2,0,20,,,,0,
George Kittle,1,Collin,TE,TE,9.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,78,0,0,0,0,,,,5,
Clyde Edwards-Helaire,1,Collin,RB,W/R/T,8.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,29,0,14,0,43,,,,3,
Diontae Johnson,1,Collin,WR,BN,12.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,36,0,0,0,0,,,,10,
Ja'Marr Chase,1,Collin,WR,BN,18.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,101,0,1,0,-2,,,,7,
Joe Burrow,1,Collin,QB,BN,18.64,0,,,,,,,0,,0,0,,2,261,,,,,,,,,0,0,0,0,1,0,2,,,,0,
Marvin Jones Jr.,1,Collin,WR,BN,16.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,77,0,0,0,0,,,,9,
Sony Michel,1,Collin,RB,BN,0.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,1,0,2,,,,0,
Jason Sanders,1,Collin,K,K,6.0,,,0,0,0,1,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Miami,1,Collin,DEF,DEF,6.0,,0,,,,,,,2,,0,,,,16,0,0,1,0,0,0,0,,,,0,,,,1,0,0,,0
Michael Gallup,1,Collin,WR,IR,5.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,36,0,0,0,0,,,,7,
Ryan Tannehill,1,David,QB,QB,15.18,0,,,,,,,2,,0,1,,1,212,,,,,,,,,0,0,0,0,2,1,17,,,,0,
Tyreek Hill,1,David,WR,WR,31.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,11,1,197,0,1,0,4,,,,15,
Mike Evans,1,David,WR,WR,3.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,24,0,0,0,0,,,,6,
Alvin Kamara,1,David,RB,RB,16.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,1,8,0,20,0,83,,,,4,
David Montgomery,1,David,RB,RB,18.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,10,0,16,1,108,,,,1,
Mark Andrews,1,David,TE,TE,3.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,20,0,0,0,0,,,,5,
Leonard Fournette,1,David,RB,W/R/T,8.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,27,0,9,0,32,,,,7,
Julio Jones,1,David,WR,BN,4.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,29,0,0,0,0,,,,6,
Will Fuller V,1,David,WR,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
James Conner,1,David,RB,BN,5.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,16,0,53,,,,0,
Matt Ryan,1,David,QB,BN,7.36,0,,,,,,,0,,0,0,,0,164,,,,,,,,,0,0,0,0,2,0,8,,,,0,
Jared Cook,1,David,TE,BN,8.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,56,0,0,0,0,,,,8,
