name,week,manager,position,roster_position,points,2-PT,Blk Kick,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Fum Lost,Fum Rec,Fum Ret TD,Int,PAT Made,Pass TD,Pass Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,Targets,XPR
Matthew Stafford,2,Steve-Dave,QB,QB,18.22,0,,,,,,,0,,0,1,,2,278,,,,,,,,,0,0,0,0,2,0,1,,,,0,
Cooper Kupp,2,Steve-Dave,WR,WR,32.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,2,163,0,1,0,-5,,,,11,
Adam Thielen,2,Steve-Dave,WR,WR,12.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,1,39,0,0,0,0,,,,7,
Nick Chubb,2,Steve-Dave,RB,RB,16.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,3,0,11,1,95,,,,1,
Christian McCaffrey,2,Steve-Dave,RB,RB,22.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,65,0,24,1,72,,,,6,
Travis Kelce,2,Steve-Dave,TE,TE,20.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,1,109,0,0,0,0,,,,8,
Chase Edmonds,2,Steve-Dave,RB,W/R/T,10.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,29,0,8,0,46,,,,5,
Allen Lazard,2,Steve-Dave,WR,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Justin Fields,2,Steve-Dave,QB,BN,4.5,0,,,,,,,0,,0,1,,0,60,,,,,,,,,0,0,0,0,10,0,31,,,,0,
Mike Williams,2,Steve-Dave,WR,BN,18.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,1,91,0,0,0,0,,,,10,
Marquez Callaway,2,Steve-Dave,WR,BN,1.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,8,0,0,0,0,,,,4,
Rashaad Penny,2,Steve-Dave,RB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Evan Engram,2,Steve-Dave,TE,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Matt Prater,2,Steve-Dave,K,K,12.0,,,0,1,0,0,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Green Bay,2,Steve-Dave,DEF,DEF,6.0,,0,,,,,,,1,,1,,,,17,0,0,1,0,0,0,0,,,,0,,,,1,0,0,,0
Kyler Murray,2,David,QB,QB,35.1,0,,,,,,,0,,0,2,,3,400,,,,,,,,,0,0,0,0,5,1,31,,,,0,
DeAndre Hopkins,2,David,WR,WR,13.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,54,0,0,0,0,,,,4,
Amari Cooper,2,David,WR,WR,3.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,24,0,0,0,0,,,,5,
Joe Mixon,2,David,RB,RB,7.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,2,0,20,0,69,,,,2,
Antonio Gibson,2,David,RB,RB,8.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,4,0,13,0,69,,,,2,
Tyler Higbee,2,David,TE,TE,1.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,8,0,0,0,0,,,,1,
Darrell Henderson Jr.,2,David,RB,W/R/T,15.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,29,0,13,1,53,,,,5,
Brandon Aiyuk,2,David,WR,BN,1.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,6,0,0,0,0,,,,2,
Corey Davis,2,David,WR,BN,1.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,8,0,0,0,0,,,,5,
Trey Lance,2,David,QB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Darnell Mooney,2,David,WR,BN,9.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,66,0,0,0,0,,,,8,
James White,2,David,RB,BN,15.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,45,0,5,1,20,,,,6,
Robert Tonyan,2,David,TE,BN,12.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,1,52,0,0,0,0,,,,3,
Greg Zuerlein,2,David,K,K,10.0,,,0,0,1,0,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
New England,2,David,DEF,DEF,19.0,,0,,,,,,,0,,4,,,,6,0,1,0,0,0,0,0,,,,0,,,,4,0,0,,0
Michael Thomas,2,David,WR,IR,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Patrick Mahomes,2,brandon,QB,QB,25.02,0,,,,,,,0,,0,1,,3,343,,,,,,,,,0,0,0,0,1,0,3,,,,0,
Chris Godwin,2,brandon,WR,WR,14.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,62,0,0,0,0,,,,5,
Jarvis Landry,2,brandon,WR,WR,1.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,9,0,0,0,0,,,,1,
Eli Mitchell,2,brandon,RB,RB,6.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,11,0,17,0,42,,,,2,
Kareem Hunt,2,brandon,RB,RB,5.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,2,0,13,0,51,,,,1,
T.J. Hockenson,2,brandon,TE,TE,16.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,1,66,0,0,0,0,,,,9,
Allen Robinson II,2,brandon,WR,W/R/T,9.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,1,24,0,0,0,0,,,,4,
Saquon Barkley,2,brandon,RB,BN,7.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,12,0,13,0,57,,,,3,
Ronald Jones II,2,brandon,RB,BN,4.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,9,0,6,0,27,,,,3,
Gerald Everett,2,brandon,TE,BN,0.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,3,0,0,0,0,,,,2,
Kenny Golladay,2,brandon,WR,BN,5.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,38,0,0,0,0,,,,8,
Jameis Winston,2,brandon,QB,BN,10.34,0,,,,,,,0,,0,2,,0,111,,,,,,,,,0,0,0,0,3,1,19,,,,0,
Laviska Shenault Jr.,2,brandon,WR,BN,0.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,-3,0,1,0,0,,,,7,
Younghoe Koo,2,brandon,K,K,5.0,,,0,0,1,0,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,2,brandon,DEF,DEF,8.0,,0,,,,,,,0,,2,,,,18,0,0,1,0,0,0,0,,,,0,,,,3,0,0,,0
Ryan Tannehill,2,David,QB,QB,14.58,0,,,,,,,1,,0,0,,0,347,,,,,,,,,0,0,0,0,4,0,27,,,,0,
Tyreek Hill,2,David,WR,WR,4.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,14,0,1,0,15,,,,4,
Mike Evans,2,David,WR,WR,22.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,2,75,0,0,0,0,,,,9,
Alvin Kamara,2,David,RB,RB,5.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,25,0,8,0,5,,,,6,
David Montgomery,2,David,RB,RB,9.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,18,0,20,0,61,,,,4,
Mark Andrews,2,David,TE,TE,8.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,57,0,0,0,0,,,,5,
Julio Jones,2,David,WR,W/R/T,15.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,128,0,0,0,0,,,,8,
Leonard Fournette,2,David,RB,BN,9.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,24,0,11,0,52,,,,4,
Will Fuller V,2,David,WR,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
James Conner,2,David,RB,BN,2.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,8,0,26,,,,0,
Matt Ryan,2,David,QB,BN,19.3,1,,,,,,,0,,0,3,,2,300,,,,,,,,,0,0,0,0,2,0,3,,,,0,
Jared Cook,2,David,TE,BN,4.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,28,0,0,0,0,,,,5,
Devonta Freeman,2,David,RB,BN,2.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,2,0,29,,,,0,
Ryan Succop,2,David,K,K,6.0,,,0,0,0,0,0,,,,,6,,,,,,,,,,,,,,,,,,,,,,
San Francisco,2,David,DEF,DEF,8.0,,1,,,,,,,0,,0,,,,11,0,0,0,0,0,0,1,,,,0,,,,2,0,0,,0
Lamar Jackson,2,Collin,QB,QB,34.26,0,,,,,,,0,,0,2,,1,239,,,,,,,,,0,0,0,0,16,2,107,,,,0,
Diontae Johnson,2,Collin,WR,WR,15.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,0,105,0,0,0,0,,,,12,
Brandin Cooks,2,Collin,WR,WR,18.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,1,78,0,0,0,0,,,,14,
Ezekiel Elliott,2,Collin,RB,RB,16.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,26,0,16,1,71,,,,2,
Clyde Edwards-Helaire,2,Collin,RB,RB,2.6,0,,,,,,,1,,0,0,,0,0,,,,,,,,,0,0,0,0,13,0,46,,,,0,
George Kittle,2,Collin,TE,TE,3.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,17,0,0,0,0,,,,4,
Keenan Allen,2,Collin,WR,W/R/T,12.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,108,0,0,0,0,,,,8,
Javonte Williams,2,Collin,RB,BN,7.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,10,0,13,0,64,,,,1,
Ja'Marr Chase,2,Collin,WR,BN,12.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,1,54,0,0,0,0,,,,4,
Joe Burrow,2,Collin,QB,BN,13.28,0,,,,,,,0,,0,3,,2,207,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Marvin Jones Jr.,2,Collin,WR,BN,14.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,1,55,0,0,0,0,,,,11,
Sony Michel,2,Collin,RB,BN,4.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,10,0,46,,,,0,
Jason Sanders,2,Collin,K,K,0.0,,,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
New Orleans,2,Collin,DEF,DEF,6.0,,1,,,,,,,0,,1,,,,26,0,0,0,1,0,0,0,,,,0,,,,2,0,0,,0
Michael Gallup,2,Collin,WR,IR,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Tom Brady,2,Joel Gitar,QB,QB,29.64,0,,,,,,,1,,0,0,,5,276,,,,,,,,,0,0,0,0,1,0,6,,,,0,
DK Metcalf,2,Joel Gitar,WR,WR,8.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,53,0,0,0,0,,,,11,
Terry McLaurin,2,Joel Gitar,WR,WR,22.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,11,1,107,0,0,0,0,,,,14,
Dalvin Cook,2,Joel Gitar,RB,RB,15.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,17,0,22,0,131,,,,3,
Najee Harris,2,Joel Gitar,RB,RB,16.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,43,0,10,0,38,,,,5,
Kyle Pitts,2,Joel Gitar,TE,TE,9.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,73,0,0,0,0,,,,6,
Melvin Gordon III,2,Joel Gitar,RB,W/R/T,7.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,38,0,13,0,31,,,,2,
Josh Jacobs,2,Joel Gitar,RB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
JuJu Smith-Schuster,2,Joel Gitar,WR,BN,13.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,41,0,1,1,3,,,,7,
Baker Mayfield,2,Joel Gitar,QB,BN,18.52,0,,,,,,,0,,0,1,,1,213,,,,,,,,,0,0,0,0,8,1,10,,,,0,
Mecole Hardman,2,Joel Gitar,WR,BN,8.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,55,0,0,0,0,,,,8,
Henry Ruggs III,2,Joel Gitar,WR,BN,20.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,113,0,1,0,2,,,,7,
Rob Gronkowski,2,Joel Gitar,TE,BN,17.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,2,39,0,0,0,0,,,,5,
Matt Gay,2,Joel Gitar,K,K,9.0,,,0,0,2,0,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Denver,2,Joel Gitar,DEF,DEF,9.0,,0,,,,,,,0,,2,,,,13,0,0,0,0,0,0,1,,,,0,,,,1,0,0,,0
Dak Prescott,2,Tony Smith,QB,QB,8.48,0,,,,,,,0,,0,1,,0,237,,,,,,,,,0,0,0,0,0,0,0,,,,0,
CeeDee Lamb,2,Tony Smith,WR,WR,13.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,0,81,0,1,0,13,,,,9,
Calvin Ridley,2,Tony Smith,WR,WR,15.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,1,63,0,0,0,0,,,,10,
Aaron Jones,2,Tony Smith,RB,RB,38.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,3,48,0,17,1,67,,,,6,
Chris Carson,2,Tony Smith,RB,RB,15.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,13,2,31,,,,0,
Logan Thomas,2,Tony Smith,TE,TE,7.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,45,0,0,0,0,,,,7,
Deebo Samuel,2,Tony Smith,WR,W/R/T,13.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,93,0,2,0,8,,,,8,
Aaron Rodgers,2,Tony Smith,QB,BN,26.8,0,,,,,,,0,,0,0,,4,255,,,,,,,,,0,0,0,0,4,0,6,,,,0,
Robert Woods,2,Tony Smith,WR,BN,9.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,64,0,2,0,6,,,,9,
Miles Sanders,2,Tony Smith,RB,BN,6.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,4,0,13,0,55,,,,2,
Dallas Goedert,2,Tony Smith,TE,BN,3.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,24,0,0,0,0,,,,2,
Jamaal Williams,2,Tony Smith,RB,BN,5.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,12,0,7,0,25,,,,3,
Harrison Butker,2,Tony Smith,K,K,5.0,,,0,0,0,0,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Washington,2,Tony Smith,DEF,DEF,3.0,,0,,,,,,,0,,0,,,,29,0,0,0,0,1,0,0,,,,0,,,,4,0,0,,0
Pittsburgh,2,Tony Smith,DEF,BN,2.0,,0,,,,,,,0,,0,,,,26,0,0,0,1,0,0,0,,,,0,,,,2,0,0,,0
Justin Herbert,2,Alex,QB,QB,16.72,0,,,,,,,0,,0,2,,1,338,,,,,,,,,0,0,0,0,4,0,12,,,,0,
Davante Adams,2,Alex,WR,WR,16.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,0,121,0,0,0,0,,,,9,
Justin Jefferson,2,Alex,WR,WR,15.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,1,65,0,0,0,0,,,,10,
Derrick Henry,2,Alex,RB,RB,44.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,55,0,35,3,182,,,,6,
James Robinson,2,Alex,RB,RB,7.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,17,0,11,0,47,,,,3,
Jonnu Smith,2,Alex,TE,TE,4.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,28,0,0,0,0,,,,5,
DJ Moore,2,Alex,WR,W/R/T,17.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,1,79,0,0,0,0,,,,11,
Courtland Sutton,2,Alex,WR,BN,20.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,0,159,0,0,0,0,,,,12,
Ryan Fitzpatrick,2,Alex,QB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Kenyan Drake,2,Alex,RB,BN,8.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,46,0,7,0,9,,,,6,
DeVonta Smith,2,Alex,WR,BN,2.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,16,0,0,0,0,,,,7,
Hunter Henry,2,Alex,TE,BN,5.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,42,0,0,0,0,,,,4,
Justin Jackson,2,Alex,RB,BN,3.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,8,0,4,0,21,,,,1,
Robbie Gould,2,Alex,K,K,6.0,,,0,0,0,1,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Arizona,2,Alex,DEF,DEF,1.0,,0,,,,,,,0,,0,,,,27,0,0,0,1,0,0,0,,,,0,,,,1,0,0,,0
Russell Wilson,2,Samuel,QB,QB,23.32,0,,,,,,,0,,0,0,,2,343,,,,,,,,,0,0,0,0,3,0,16,,,,0,
Tyler Lockett,2,Samuel,WR,WR,27.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,1,178,0,0,0,0,,,,11,
Antonio Brown,2,Samuel,WR,WR,2.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,17,0,0,0,0,,,,3,
Austin Ekeler,2,Samuel,RB,RB,18.0,1,,,,,,,0,,0,0,,0,0,,,,,,,,,9,0,61,0,9,0,54,,,,9,
Damien Harris,2,Samuel,RB,RB,12.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,2,0,16,1,62,,,,1,
Darren Waller,2,Samuel,TE,TE,9.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,65,0,0,0,0,,,,7,
Tee Higgins,2,Samuel,WR,W/R/T,13.0,0,,,,,,,1,,0,0,,0,0,,,,,,,,,6,1,60,0,0,0,0,,,,10,
Mike Davis,2,Samuel,RB,BN,9.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,0,25,0,9,0,38,,,,7,
Chase Claypool,2,Samuel,WR,BN,8.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,70,0,1,0,-3,,,,9,
Myles Gaskin,2,Samuel,RB,BN,6.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,21,0,5,0,25,,,,5,
Jalen Hurts,2,Samuel,QB,BN,21.8,0,,,,,,,0,,0,0,,0,190,,,,,,,,,0,0,0,0,10,1,82,,,,1,
Jakobi Meyers,2,Samuel,WR,BN,5.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,38,0,0,0,0,,,,6,
Trey Sermon,2,Samuel,RB,BN,0.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,1,0,8,,,,0,
Justin Tucker,2,Samuel,K,K,7.0,,,0,0,0,1,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Buffalo,2,Samuel,DEF,DEF,22.0,,0,,,,,,,2,,1,,,,0,1,0,0,0,0,0,0,,,,0,,,,6,0,0,,0
Josh Allen,3,Brimbry,QB,QB,37.22,0,,,,,,,0,,0,0,,4,358,,,,,,,,,0,0,0,0,4,1,9,,,,0,
Stefon Diggs,3,Brimbry,WR,WR,9.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,0,62,0,0,0,0,,,,10,
A.J. Brown,3,Brimbry,WR,WR,0.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,1,0,3,,,,2,
Jonathan Taylor,3,Brimbry,RB,RB,7.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,8,0,10,0,64,,,,3,
D'Andre Swift,3,Brimbry,RB,RB,20.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,0,60,0,14,1,47,,,,7,
Noah Fant,3,Brimbry,TE,TE,2.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,15,0,0,0,0,,,,3,
Ty'Son Williams,3,Brimbry,RB,W/R/T,2.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,5,0,22,,,,1,
Marquise Brown,3,Brimbry,WR,BN,6.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,53,0,0,0,0,,,,7,
Devin Singletary,3,Brimbry,RB,BN,3.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,0,0,11,0,26,,,,2,
Jaylen Waddle,3,Brimbry,WR,BN,11.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,12,0,58,0,0,0,0,,,,13,
Odell Beckham Jr.,3,Brimbry,WR,BN,11.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,77,0,1,0,10,,,,9,
Trevor Lawrence,3,Brimbry,QB,BN,9.46,0,,,,,,,2,,0,2,,1,219,,,,,,,,,0,0,0,0,6,0,27,,,,0,
Mark Ingram II,3,Brimbry,RB,BN,2.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,-1,0,6,0,21,,,,1,
Tyler Bass,3,Brimbry,K,K,14.0,,,0,2,0,1,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Tampa Bay,3,Brimbry,DEF,DEF,0.0,,0,,,,,,,0,,0,,,,34,0,0,0,0,1,0,0,,,,0,,,,1,0,0,,0
Jerry Jeudy,3,Brimbry,WR,IR,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Ryan Tannehill,3,David,QB,QB,23.48,0,,,,,,,0,,0,2,,3,197,,,,,,,,,0,0,0,0,5,0,56,,,,0,
Tyreek Hill,3,David,WR,WR,7.2,0,,,,,,,1,,0,0,,0,0,,,,,,,,,5,0,56,0,1,0,11,,,,7,
Mike Evans,3,David,WR,WR,14.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,8,0,106,0,0,0,0,,,,10,
Alvin Kamara,3,David,RB,RB,19.3,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,1,29,0,24,0,89,,,,4,
David Montgomery,3,David,RB,RB,6.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,21,0,10,0,34,,,,4,
Mark Andrews,3,David,TE,TE,13.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,109,0,0,0,0,,,,7,
Julio Jones,3,David,WR,W/R/T,6.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,47,0,0,0,0,,,,4,
Leonard Fournette,3,David,RB,BN,4.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,26,0,4,0,8,,,,3,
Will Fuller V,3,David,WR,BN,5.5,1,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,20,0,0,0,0,,,,6,
James Conner,3,David,RB,BN,17.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,10,0,11,2,43,,,,1,
Matt Ryan,3,David,QB,BN,15.62,0,,,,,,,1,,0,0,,2,243,,,,,,,,,0,0,0,0,1,0,-1,,,,0,
Jared Cook,3,David,TE,BN,3.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,27,0,0,0,0,,,,3,
Devonta Freeman,3,David,RB,BN,0.8,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,3,0,8,,,,0,
Ryan Succop,3,David,K,K,6.0,,,0,1,0,0,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,
San Francisco,3,David,DEF,DEF,0.0,,0,,,,,,,0,,0,,,,30,0,0,0,0,1,0,0,,,,0,,,,1,0,0,,0
Kyler Murray,3,David,QB,QB,19.54,0,,,,,,,0,,0,1,,0,316,,,,,,,,,0,0,0,0,7,1,19,,,,0,
DeAndre Hopkins,3,David,WR,WR,3.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,21,0,0,0,0,,,,6,
Amari Cooper,3,David,WR,WR,4.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,26,0,0,0,0,,,,4,
Joe Mixon,3,David,RB,RB,9.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,4,0,18,0,90,,,,1,
Antonio Gibson,3,David,RB,RB,16.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,1,73,0,12,0,31,,,,2,
Tyler Higbee,3,David,TE,TE,12.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,1,40,0,0,0,0,,,,5,
Corey Davis,3,David,WR,W/R/T,6.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,41,0,0,0,0,,,,10,
Darrell Henderson Jr.,3,David,RB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Brandon Aiyuk,3,David,WR,BN,12.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,37,0,1,0,8,,,,6,
Trey Lance,3,David,QB,BN,6.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,1,1,1,,,,0,
Darnell Mooney,3,David,WR,BN,1.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,9,0,0,0,0,,,,4,
James White,3,David,RB,BN,0.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,1,0,6,,,,1,
Robert Tonyan,3,David,TE,BN,1.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,6,0,0,0,0,,,,1,
Greg Zuerlein,3,David,K,K,5.0,,,0,0,0,0,0,,,,,5,,,,,,,,,,,,,,,,,,,,,,
New England,3,David,DEF,DEF,3.0,,0,,,,,,,0,,0,,,,22,0,0,0,1,0,0,0,,,,0,,,,3,0,0,,0
Michael Thomas,3,David,WR,IR,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Matthew Stafford,3,Steve-Dave,QB,QB,29.52,0,,,,,,,0,,0,0,,4,343,,,,,,,,,0,0,0,0,2,0,-2,,,,0,
Cooper Kupp,3,Steve-Dave,WR,WR,26.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,9,2,96,0,0,0,0,,,,12,
Adam Thielen,3,Steve-Dave,WR,WR,14.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,6,1,50,0,0,0,0,,,,9,
Nick Chubb,3,Steve-Dave,RB,RB,8.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,22,0,84,,,,0,
Christian McCaffrey,3,Steve-Dave,RB,RB,5.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,9,0,7,0,31,,,,2,
